User,Date Created,Number of Likes,Source of Tweet,Tweets
jmbrabbs,2022-05-31 23:58:05+00:00,11,,"Bunny’s groomer today told me they’d been saving this accessory because they thought for sure that if anyone would appreciate it, it would be Bunny’s owner. They were 100% correct because I’m obsessed with my frilly bibbed child https://t.co/m2h9Umvo5L"
saltyryu1,2022-05-31 23:58:04+00:00,5,,@StateFarm Ok Groomer
TotalFuckGay,2022-05-31 23:57:55+00:00,0,,"Yeah man, everyone's a groomer and a pedo. 
Everyone. 
https://t.co/a4t7M1Yc3j"
Roberttimestwo,2022-05-31 23:57:21+00:00,0,,"@toddstarnes so I imagine that you have prayed after each one of these shootings ""Please God don't let this happen again"" it hasn't worked and it never will - so go away groomer"
peace_sensei,2022-05-31 23:55:55+00:00,10,,"@FwostyX3 I already a few people who fall into those guidelines
*clears his throat*
-Faave (Roblox Groomer)
-#advyout (P*dophile/Groomer)
-AetherDX (Artist Groomer)
-AmorAltra (Posted lewd shit in his 18+ private acc.)
-LisaGamingRoblox (I forgor what she did lol)"
retiredquietguy,2022-05-31 23:53:08+00:00,0,,"@FrankBeckwith10 @GeeslingMatthew @zhenryaz @KariLake Hey Groomer,
Have you heard me say anything"
BodhiSwayze3,2022-05-31 23:52:36+00:00,0,,"@JGooldin876 @DonaldJTrumpJr Wow , good one groomer"
SpinquarkNews,2022-05-31 23:52:17+00:00,1,,Military base cancels groomer hour after Senator pressure. #groomer https://t.co/ijb9l1eDns
cat_groomer,2022-05-31 23:52:10+00:00,1,,@SeanHarbaugh @sentdefender And Falaise pocket.
BlubberBummer,2022-05-31 23:50:06+00:00,0,,for context this is my groomer’s discord alt account after he abandoned his main one to get rid of evidence of me and him
SloanRachmuth,2022-05-31 23:49:56+00:00,13,,👏🏼👏🏼buh bye #groomer!
one_skeptical,2022-05-31 23:46:07+00:00,7,,"@prageru @Liz_Wheeler @amalaekpunobi When conservatives call everyone they disagree with a “groomer” the word loses its meaning

If you want to see a real groomer, look no further than this Republican congressman 

https://t.co/40f3AOvo4Q"
trawlerfl,2022-05-31 23:45:48+00:00,0,,"@DonaldJTrumpJr Better than growing up with your ""groomer"" dad."
BrockP1977,2022-05-31 23:45:31+00:00,0,,@MizMuni69 @nbc4i Ok groomer
TwitchyTeam,2022-05-31 23:45:00+00:00,38,,"‘They say it’s innocent. They're LYING': Libs of TikTok shares ‘MEGA DRAG THREAD’ dropping each and EVERY ‘groomer apologist’

https://t.co/RGWddSigU2"
DonnaLe08949795,2022-05-31 23:40:51+00:00,0,,"@RepMTG Hey Groomer, kids are dying.  That blood is on your hands.  Go back to talking about your ""PEACH TREE"" dish."
jgpetruna,2022-05-31 23:37:14+00:00,3,,"@kciesemier ""...an empty attack...""

Okay groomer."
Henry52319473,2022-05-31 23:37:01+00:00,0,,@JoJoFromJerz I think maybe you're upset about him calling your ideology out. You must be a Groomer based on your language.
TmsGrant,2022-05-31 23:36:48+00:00,1,,Groomer alert!
horangaze1,2022-05-31 23:36:00+00:00,0,,"oh no, zayn doesn’t have the cheating groomer on his side 😔"
jasonakagoimon,2022-05-31 23:34:25+00:00,1,,@ChristinaPushaw @kciesemier We used to call them pedos ... Groomer is too nice a word.  🤷
GarethBattersby,2022-05-31 23:34:04+00:00,0,,@mattxiv Ok... Groomer?
mysteriouskat,2022-05-31 23:33:59+00:00,0,,"@TheRabbitHole84 @buttonslives @RebelNewsOnline @libsoftiktok @realchrisrufo @sullydish Sounds like the original definition I thought it to be is closer to reality. I think this discourse has been a mess. I see valid issues but the whole ""groomer"" narrative is childish at best."
lewis_aloysius,2022-05-31 23:33:34+00:00,1,,"OK, groomer!!"
gmazel41,2022-05-31 23:32:51+00:00,2,,"While walking the neighborhood tonight, I carried a glass of wine. I said a toast to each of my homies... Like ""cheers to you, carpet-like lawn groomer, you have us all beat. But consider ditching the fake deer, they're creepy and not fooling anyone."" https://t.co/S7O4PYaXmH"
WolvesforKamala,2022-05-31 23:31:59+00:00,10,,@ThunderHeadFan @Grania64156311 @oREGINAl49ers @HellcatBruce @FrenchRainez @SpinningBy @BenofB @return_carriage @SoloSportsComms @Sigmundine2 @8645AmySaysVote @JayMadIV @Ndreajess @AntiQuebecHate @wickedirishmn @MarthaFullerV1 @Kacey325 @BlueEclipse2022 @rorivas8 @Like_H2O @FF_fanster @bkgut3 @snarkgrapefruit @sexygirl798 @TiredInOR4Now @Nimue4DaFelines @ladyasrai @Renee_PLP @MindCandy15 @Needle_of_Arya @BeninBiloxi83 @FemmeScarlet @RansdellLiz @earlgreyhottea @GGforthepeople @RhinoReally @AzieDee @BeninBiloxi @daralynn13 @Heather3E8i8 @blucollarlib @eminently_me5 @_Curtis_Pope_ @SPAREACCTOFNO @InfamusElGuapo @LadyMeowMeow_ @iketle11 @LeifNanna @Tee_Ferraro Ugh I just really sprained my arm and there’s gonna be a huge bruise. Benjen freaked out about going into the mobile groomer trailer 😞😭
Sweasty,2022-05-31 23:31:32+00:00,1,,@DineshDSouza So a groomer you don't like was promoted over a groomer you do like? Ok.
ashwasgone,2022-05-31 23:30:30+00:00,1,,"Da un chingo de rabia que se anden enfocando en la persona de ella. Porque ella tocaba mucho el tema del romance de manera cómica, no significa que era una pvta, Dios. Nadie predijo que se le acercaría un groomer que era mutual, y no es su culpa que no lo haya visto venir."
K3EHOSWRLD,2022-05-31 23:28:15+00:00,0,,Idk but I really think I could pull han hyunmin just give me a couple years and boom. I’m only 16 ion want nobody calling my man a groomer. We only got a 4 year age gap
luchitopty507,2022-05-31 23:28:09+00:00,1,,"@brendajuanes03 Cuál es el otro? El de Setracen, el groomer y cuál otro?"
sncwchild,2022-05-31 23:27:50+00:00,3,,"no personality, never minds his own business, homophobic, groomer…"
DavidDenend,2022-05-31 23:25:56+00:00,2,,@TimeToVoteRed Groomer.
1artniece2,2022-05-31 23:22:54+00:00,0,,Groomer!
DTucker83177660,2022-05-31 23:20:39+00:00,0,,The Satanic Teachers Union indoctrination and Groomer’s candidate. Too bad he doesn’t believe in Parental Rights as a professional fence rider he fell on the losing side. The Communist Climate Cult of Lies &amp; manipulation religion.
RonsDad2,2022-05-31 23:20:32+00:00,0,,@muttipi314 @Ve_x_Ve @amonshaw5 @pity_martine @elonmusk ok groomer
RAScott324,2022-05-31 23:20:04+00:00,2,,"@BowTiedOx I used to work with a dog groomer who would mouth breathe while grooming dogs. She had no chin, plus I can't imagine how much hair and Dremeled dog toenail dust she must've consumed in a day... I prefer to let nature's mucus filter on my face catch all that for me, kthanx."
JonezinWidJonez,2022-05-31 23:18:27+00:00,1,,@hotmessica__ @TalkTV @Felix_F_Fern @iancollinsuk Ok groomer
Zander8810,2022-05-31 23:16:37+00:00,2,,@everymanjack @RainbowRailroad Ok Groomer
floridasandy25,2022-05-31 23:15:50+00:00,2,,"Ok , groomer"
MewWasTooShort,2022-05-31 23:15:34+00:00,0,,@1BigTiddyGothGF What do you mean by groomer 💀
CCSDConvo,2022-05-31 23:15:02+00:00,2,,"K-12 #schoollibrary management company aborts new program that would have allowed #parents to see what books their children check out - nationwide boycott threats from #groomer #librarians

#bullies @SexHarassed #edtech #teachers
  https://t.co/5UPfv9O8sL"
DavidFasano56,2022-05-31 23:13:40+00:00,0,,"@skinneth @GerryCallahan @MattWalshBlog Ok, groomer"
DiscoEnigma92,2022-05-31 23:13:27+00:00,2,,Liam Payne needs to pick a struggle he’s a cheater a Creep he talks about ex- friends personal lives and he’s a groomer he’s also Biphobic
Sanban_Apoy,2022-05-31 23:13:13+00:00,3,,"@BtzPaper She acts like people who disagree with her are on some groomer type shit like????

WHAT IS HER LOGIC-"
skyblue5ever,2022-05-31 23:12:25+00:00,11,,Me being a bad person for alerting someone that a person they know is a groomer and manipulative https://t.co/4lZI1xMsLf https://t.co/gN4qNIK4ln
Griseld16508762,2022-05-31 23:11:49+00:00,0,,"@HLeeHurley @kciesemier You’re welcome, groomer."
Samanthaaaachan,2022-05-31 23:11:48+00:00,2,,This episode of Bob's Burgers has a dog groomer giving Gayle a haircut calling her a good girl and telling her how good shes doing and everything.  Whew
DavidFasano56,2022-05-31 23:11:43+00:00,6,,"@happycrazytown @DonaldJTrumpJr Ok, groomer"
ZonkedAll,2022-05-31 23:11:37+00:00,19,,@nytopinion @kciesemier Don’t be a groomer or an abuser then 😂
Griseld16508762,2022-05-31 23:11:12+00:00,3,,@stevenbodzin @kciesemier Exactly what a groomer would.  PP checks out. Leave kids alone ffs.
CanWeBookKenny,2022-05-31 23:10:08+00:00,0,,"@13Bloodlines Okay I will concede that I'm not the most politically savvy person in the world, and in a place where government related terms aren't as common, so I don't know what you mean by groomer policies, however being homosexual was never an alternative lifestyle, rather a secret"
mjsmith1712,2022-05-31 23:08:22+00:00,0,,@zarember_cindy The visual is disturbing.  Are you always this humble and kind?  So you agree that guns are more important than children.  Is that right? You are a proponent of grooming it appears based on several of your postings.  #groomer https://t.co/zi8XCkjITn
herlihy_f,2022-05-31 23:08:13+00:00,3,,Misusing Words Like ‘Groomer’ Isn’t Just Wrong. It’s Dangerous. https://t.co/mHrH6lmxQL
Demosthenes9_1,2022-05-31 23:06:11+00:00,3,,"@Mags_Larkin @kciesemier @ChristinaPushaw Nah, groomer is quite accurate"
b0rderlandssss,2022-05-31 23:05:54+00:00,0,,@EmenaIo @CFC_Cal Child groomer
packldr2,2022-05-31 23:05:44+00:00,2,,@JakeEvansGA thinking that sex education is taught in Kindergarten is very pedo. Stand down groomer!
confusduckling,2022-05-31 23:05:18+00:00,0,,"Who tf does this white man think he is? This is so racist. Acting as if he’s not a cheater, homophobic, child groomer ."
dizzydayyz,2022-05-31 23:04:18+00:00,1,,"@ayla_ayz Liam the groomer
Liam the cheater
Liam the dckhead"
waycicyt,2022-05-31 23:03:53+00:00,1,,@TheLadyOfCancer and if i do support her it’s not a sign of me being a “groomer” too or a pedo . thank you 😺
mefavouriteg___,2022-05-31 23:02:53+00:00,6,,"Not him acknowledging the fact, that he was a teenager not even a year ago (which he still is, even at 18), still lives at home etc. but at the same time admitting to dating someone in the industry, which we all know is his 26 year old groomer girlfriend Sydney Chandler."
HelpmeJahRule,2022-05-31 23:00:15+00:00,0,,I wasn't gonna watch to begin with but it says alot about how they sanitize the pedophile groomer who steal BP music.
cincyredbengal,2022-05-31 22:59:21+00:00,1,,Cincinnati Groomer Center
bluegreay,2022-05-31 22:57:57+00:00,22,,speaking on someone else’s upbringing wtf?? fck ass groomer got no ground to act like he has a moral compass
JohnPow62265340,2022-05-31 22:57:43+00:00,0,,"@Standup_Tragic_ @DanielCayton6 @huntersayshi @libsoftiktok @AbbottMiddle You mentioned politics fool 😂
Don't think you will win this conversation because you already lost groomer"
StarryOaksTexas,2022-05-31 22:55:29+00:00,71,,"@nytopinion @kciesemier No, ""groomer"" and ""child abuser"" is the correct word to use for emotional manipulation."
AnnFranchina,2022-05-31 22:55:14+00:00,1,,First time at the groomer ✨ I love his little soap crown 👑 https://t.co/G0puUk33WZ
MAGA4MERICA,2022-05-31 22:55:00+00:00,0,,@vineyardman @ZaleskiLuke @NoLieWithBTC @HuffPost Everything the left stands for is anti- God but ok groomer
PAWSandANCHOR,2022-05-31 22:54:41+00:00,0,,"We couldn’t choose which pic of Ellie is cuter! Can you?? 🐾⚓️🐶

#PawsandAnchor
#EthicalPetCare #uniquepetcarebythesea #bradleybeachnj #jerseyshoregroomer #njdoggroomer #Local #PetGroomer #DogSpa #Groomer #PetBoutique #DogGroomer #CatGroomer https://t.co/PYnU2cR4LU"
