User,Date Created,Number of Likes,Source of Tweet,Tweets
DesignsByRAJA,2020-05-31 23:59:30+00:00,0,,Dog groomer bathtub embroidered toilet paper on #Etsy https://t.co/B5KC7xYZQO homedecor petlovers doglovers dogs grooming gifts giftideas crafts handmade shopsmall smallbiz pets embroidered humor #epiconetsy
DesignsByRAJA,2020-05-31 23:56:16+00:00,0,,Dog groomer bathtub embroidered toilet paper on #Etsy https://t.co/B5KC7xYZQO homedecor petlovers doglovers dogs grooming gifts giftideas crafts handmade shopsmall smallbiz pets embroidered humor #craftychaching
swampvendor,2020-05-31 23:40:31+00:00,0,,"I typed this weird, forgive me, I'm still sick. 

it doesn't do metaphors even remotely well

also angel in buffy is a gross groomer at best."
Edmonton_Media,2020-05-31 23:34:06+00:00,0,,@ForestCreature3 @DavidAgStone @BenjaminPDixon Ok groomer
shelbyst_,2020-05-31 23:33:44+00:00,0,,"cansada disso tudo 
vontade de ser só groomer msm pq tá complicado"
DoodleNessa,2020-05-31 23:25:29+00:00,6,,@HBac20 lol.. mom told our groomer to shave us! We get too hot..lol
PBandJCleric,2020-05-31 23:23:10+00:00,0,,@TalbertSwan @realDonaldTrump But you're a child groomer.
EmpleosIO,2020-05-31 23:19:34+00:00,0,,"#jobs #hiring #Windsor #Connecticut #USA Pet Stylist- Part-Time (Dog Groomer): Healthier pets. Happier people. Better world. Our vision might sound lofty, but we believe it's attainable when we obsess about providing complete care for our amazing pets.… https://t.co/w7IVIOCiSV"
lisajo_11,2020-05-31 23:19:03+00:00,0,,@notcapnamerica One of my dogs is like that and another I cannot do at all! Yet she fine for the groomer 🤨
CuteYorkiesPics,2020-05-31 23:10:23+00:00,1,,Max's home cut. AKA this is why I'm not a perfesional dog groomer. #yorkies #dogsoftwitter #cute https://t.co/10QDiKskqG
MeganAnderson47,2020-05-31 23:10:08+00:00,0,,I really need to get Chloe to the groomer and I have no one to take her since I’ll be at work during the day and I can’t do it 🙃
cgarchibald,2020-05-31 22:30:45+00:00,0,,@groomer_pro @walter76mdq @caprisunbois @Steppey @YoungDems4Trump The lady with the bullhorn was screaming her head off for the white man dressed in black who they thought was a police officer to stop! I guess like Trump you only see”black”
BellaFromVegas,2020-05-31 22:26:13+00:00,0,,"Sad times right now.  Thankfully, my mommy loves me.  I got my fur brushed up pretty and she gave me a puppy massage to relax me.  But, if my groomer doesn't get back soon, I'm going to be upset.  I NEED a lot of this fur gone.  It's SUMMER here in Vegas... HOT!"
cgarchibald,2020-05-31 22:13:22+00:00,0,,@groomer_pro @walter76mdq @caprisunbois @Steppey @YoungDems4Trump There are white folks on video who came with swords and huge hammers!The young black lady with the bull horn begging them to stop!The mentality of WHITE FOLKS TO BLACK PEOPLE ARE THAT “CRIMINALS COME TO MIND” BUT THIS IS PERPETRATED BY THESE FOLKS WHO COME WITH THE WRONG MOTIVES!
RC5102,2020-05-31 22:06:20+00:00,1,,"@MysterySolvent Our son Gus after the groomer, she usually sends him home with a bandanna this time a tie. Stay Safe Everybody 😷😷 https://t.co/EDSDXVz33G"
DeAana50,2020-05-31 22:02:33+00:00,0,,"6th month is 6% off Mondays and Tuesdays!!!!
In shop Only, with my groomer Kerry. She is SUPER, and I'm glad to have her at DeBonair Dog!!
Book your appointment through:
https://t.co/fBKG5FoAS3 https://t.co/zFq6W1JNMQ"
Muttville,2020-05-31 21:59:00+00:00,43,,"Cindy, Muttville's #amazing #volunteer groomer, &amp; her husband David took in SPUDETTE when she needed a calm place to recover from heartworm disease. The treatment is intense-limited activity &amp; heavy duty meds. We're so happy about this super #fosterwin &amp; fab #foreverhome! 💯 👏 https://t.co/XUcxA7fKJ8"
TotalCopeMove,2020-05-31 21:51:40+00:00,0,,@notcapnamerica My mom has been a dog/cat groomer longer than I’ve been alive and I’m 27. She usually wraps them in a towel
briaehlers,2020-05-31 21:47:50+00:00,2,,I have got to stop thinking “just a trim will be fine” and then completely butchering my poor dog’s hair... he’s never going to whine about the groomer again 😂
J_Mcmillan10,2020-05-31 21:46:21+00:00,0,,Ok Groomer
mike_pillow_,2020-05-31 21:43:04+00:00,1,,@Onision The groomer is using his ugly body to symbolize the repulsiveness of police brutality in America.
GeneralBazz,2020-05-31 21:30:16+00:00,1,,@MoochYorkie @jutucker I thought she mite.... we have an eggselent groomer but uf you wuzz near I wood come to you mom.....
EmpleosIO,2020-05-31 21:17:05+00:00,0,,"#jobs #hiring #Simpsonville #SouthCarolina #USA Pet Stylist- Part-Time (Dog Groomer): Healthier pets. Happier people. Better world. Our vision might sound lofty, but we believe it's attainable when we obsess about providing complete care for our amazing… https://t.co/OmKk3aC0kk"
EmpleosIO,2020-05-31 21:17:04+00:00,0,,"#jobs #hiring #Totowa #NewJersey #USA Pet Stylist- Part-Time (Dog Groomer): Healthier pets. Happier people. Better world. Our vision might sound lofty, but we believe it's attainable when we obsess about providing complete care for our amazing pets. Our… https://t.co/JUFomw5PnJ"
cathwrites,2020-05-31 21:15:34+00:00,0,,@ViaGelliaMiner @CharlotteInSox @ZombieTron @notCursedE @EmilyThornberry Ok groomer
chmpr,2020-05-31 21:15:29+00:00,0,,@jeremiah4north Ok groomer
MLG_Corgo,2020-05-31 21:00:42+00:00,0,,@ozzycal @thejtlewis @realDonaldTrump Biden the kiddie groomer? Yah no
mcchickenluvr22,2020-05-31 20:55:42+00:00,6,,@MatthewFerrari If Dan Schneider doesn’t tweet black lives matter by the end of the day we have no choice but to assume he’s a disgusting pedophile groomer with a foot fetish
abbyy_giirl,2020-05-31 20:42:09+00:00,4,,"I had to train longer to be a dog groomer, cmon"
satyaseo77,2020-05-31 20:40:40+00:00,0,,"Grand Le Mar: Shop the Best Men's Penny Loafer Shoes. The careful groomer always take care of the things they wear, so your foot wear should be properly polished, clean and should always be kept it proper posture.

Email: info@grandlemar.com
Website: https://t.co/nPwdaTrTlU"
LPFaught,2020-05-31 20:39:44+00:00,0,,@KassyDillon worse than the dog groomer's by far 😡
