User,Date Created,Number of Likes,Source of Tweet,Tweets
johlyn__,2021-05-31 23:57:30+00:00,0,,If you have long-haired dogs brush them/ take them to the groomer regularly.
johlyn__,2021-05-31 23:57:30+00:00,0,,People will never brush their dogs’ fur then get shocked when the groomer shaves it all off 😭
mesnickerlicker,2021-05-31 23:57:14+00:00,1,,@obLEXXffs Shut up groomer
FortressWolf,2021-05-31 23:56:25+00:00,31,,"What the fuck is going on today with this drama?? Minty is a groomer, Clara is fuming over Enester, Biker is throwing stones at Chevy. It's like Armageddon all over the place"
ggnuggz,2021-05-31 23:52:21+00:00,2,,@obLEXXffs @JesskaPizzle You’re literally a groomer
helpsaints,2021-05-31 23:51:40+00:00,1,,@TimoriOnTwotter @MJtheProphet @poeticambiguity gives me insane groomer vibes ngl
Mari1_992,2021-05-31 23:50:39+00:00,0,,"@JesskaPizzle Because she knows she's fucked if she does. Groomer needs to get off of the soap box, nobody wants to hear her."
bl1nd_assassin,2021-05-31 23:49:45+00:00,0,,"@lopez__tony Does it say ""im a groomer"" on it brcause i bet it will"
holybullies,2021-05-31 23:47:21+00:00,9,,"So on this holiday weekend, I have been called a 'groomer' AND a 'misogynist,' by a homophobe and transphobe. Apparently they think I'm a bitchy hairdresser."
ZoeComics,2021-05-31 23:47:00+00:00,1,,@Whitoon3 Turns out they might be a child groomer...
AnimeNinjaKing,2021-05-31 23:46:10+00:00,0,,"@BanishedJourno Usually how all people who got called out on bs like that do.  They whine,bitch,complain,play the victim card,list goes on.  Best response to all of that is.  ""ok Groomer"" or ""ok pedo"""
Clariiigold,2021-05-31 23:45:56+00:00,4,,"Before &amp; afters ! Upcoming groomer located in Cleveland Ohio! 
Please share❤️ 🐾 
My work on a severally matted dog, that also didn’t like me touching his feet😭
(IG ; Clarihomeboard ) https://t.co/UCYwqCWD5C"
Weird_5_,2021-05-31 23:45:25+00:00,1,,@RoverPlush is a child groomer he pooped in my brothers pant
MethWYD,2021-05-31 23:44:38+00:00,0,,because he's a groomer you fucking dumbass
bombyixmori,2021-05-31 23:44:37+00:00,10,,Cough cough pkrussel literally bullying kids off the internet and making them stop art and also showing his privates to his young fans with no warning and also supporting a groomer and should literally be kicked off the internet for the things he's done cough cough
YUNG0OS,2021-05-31 23:43:31+00:00,1,,Reminder this is what my groomer llookeds like
HarliKiri,2021-05-31 23:41:59+00:00,1,,Groomer moment https://t.co/pdZhjPXpJA
jensun123,2021-05-31 23:41:06+00:00,3,,"@PaceynJoey @witterandpotter Also, for one-time appearance. I'd go Jane Lynch as Pacey's mom over Aunt Gwen. At least she made an awesome breakfast. Mama Witter couldn't get Pacey's favorite meal right and said, ""what about dog groomer""? when he wanted to be a vet as a kid. Just another terrific parent, huh?"
GloryToTori,2021-05-31 23:36:54+00:00,1,,@RyaoOoOo @SteppingOnNyas I’m making fun of the groomer. not stepnya. sorry if it came off that way
elmleif,2021-05-31 23:35:49+00:00,11,,I go back to work tomorrow for the first time after losing Chappie (I’m a groomer so I’m already panicking thinking about being around dogs) but I just stopped there to buy food for Nala and as soon as I walked in I was greeted with sad looks and apologies idk how I’m gonna do it
GloryToTori,2021-05-31 23:35:07+00:00,3,,@RyaoOoOo @SteppingOnNyas cause the groomer wrote it like they were in fucking Shakespearean times
UnscathedFairy,2021-05-31 23:32:17+00:00,1,,@amber_the_kitty What the hell is a groomer anyway...?
Hemingarde,2021-05-31 23:31:34+00:00,0,,"@glitteryfaery I mean, can't expect much from a groomer que sabe que foi apanhada"
Magifist,2021-05-31 23:31:01+00:00,3,,"@JohnMichaelNL @Vorfalath Like a cross between John Wick and Taken, except it's just that his dog's favourite groomer got kidnapped

Ain't no substitutes for Mel https://t.co/ilaeduevVB"
Taps77w,2021-05-31 23:21:46+00:00,4,,THAT GROOMER SHIT IS OLD? LMFAOOOOO
GazingAtTheVoid,2021-05-31 23:16:54+00:00,0,,@GoodGuyAndrei @elonfac @beedubree @twomad Nah people where calling him a pedophile and groomer.
GazingAtTheVoid,2021-05-31 23:15:38+00:00,142,,"@tarapowerrss @elonfac @twomad Nah people made Carson out to a pedophilic groomer which is obviously not the case. Something may be said for sexually interacting with a fan but that's it. A 19 year old and a 17 year sexting, dating, etc,  is a nothing burger"
KaiTheDumbass02,2021-05-31 23:14:47+00:00,1,,@Floofy_geck of course their defending another groomer lol
_xMandiee,2021-05-31 23:14:03+00:00,0,,@Danielle_T01 She a lil ugly now cuz her groomer did her dirty so here’s her from the winter lmao https://t.co/KVdp5hlOAd
BotKickass,2021-05-31 23:13:00+00:00,0,,A kickass hippocampus dog groomer waving the pendogender flag
tigerishsteam5,2021-05-31 23:12:36+00:00,1,,"""I am terribly sorry and genuinely meant nothing."" no don't take a break, LEAVE GROOMER"
leithklein,2021-05-31 23:11:10+00:00,0,,@BlissfullyMe_RN And he didn't get feral with the groomer?
ranastrans,2021-05-31 23:07:59+00:00,2,,sometimes i think about the nice man who talked to me about his travels as a doctor in the plane and gave me his number and i wonder if by never calling him i missed a beautiful friendship or i dodged a groomer
elizam421,2021-05-31 23:07:16+00:00,0,,"perfect day off. tito seems to agree. 

p.s. his groomer has been taking some time off so teets is hurting a lil right now 🙃 https://t.co/Q4q4ZoSvxa"
PlayoffBobby,2021-05-31 23:06:17+00:00,0,,@YourRAGEz @BunNDaBayou -well known child groomer
