User,Date Created,Number of Likes,Source of Tweet,Tweets
paperheart12,2019-05-31 21:04:40+00:00,0,,@CeeEmW I love when they leave the tail like that! My cat would go missing for days after a trip to the groomer. He hates us so much.
1stplacemobile,2019-05-31 20:54:48+00:00,0,,Diesel had a spa day. Thanks Devry. Groomer Rachel #dogsofinstagram #pitbull #1stplacemobiledoggrooming #mcdonoughmobilegroomer #hamptonmobilegroomer #locustgrovemobilegroomer #stockbridgemobilegroomer @ Henry… https://t.co/KRaBJlprBd
smvandy422,2019-05-31 20:53:33+00:00,1,,Hubby is working and the dogs are at the groomer.....I have the house to myself and it’s weird
GroomsMeg,2019-05-31 20:52:56+00:00,0,,#dogsofinstagram #doggrooming #groomer #dogs #doggroomer #petstylist #spaw #dogs_of_instagram #petgrooming #grooming #dogsalon #instagramdogs #cutedog #adorable #greencovesprings #petsofinstagram #dogoftheday… https://t.co/b0qfwbMhdk
1stplacemobile,2019-05-31 20:52:51+00:00,0,,"Max had a spa day. Thanks Heather. Groomer Rachel #chihuahua #jackrussell #mixedbreed #1stplacemobiledoggrooming #mcdonoughmobilegroomer @ Henry County, Georgia https://t.co/Pzt2tzrCHg"
TetraTerezi,2019-05-31 20:28:10+00:00,0,,Cat Groom Member Talk Live with My Favorite Groomer https://t.co/whRPaQ2Ne9 https://t.co/LCj0gK3WjU
sunriserage,2019-05-31 20:10:02+00:00,0,,I took my dog to the groomer and they told me to come back in 2 hours but I feel weird knowing my dog is somewhere unfamiliar without me please help
1stplacemobile,2019-05-31 20:04:31+00:00,0,,"Louis had a makeover. Thanks Halima. Groomer Leota. #dogsofinstagram #maltese #1stplacedoggroomingsalon #mcdonoughdoggroomingsalon @ McDonough, Georgia https://t.co/GmaFjyeeT5"
hashtagnpisces,2019-05-31 20:01:56+00:00,3,,"*leaving the groomer*

Dog: *goes into the biggest puddle in the parking lot*

Me: this is why they call you a bitch"
FoundAnimalsOrg,2019-05-31 20:00:27+00:00,2,,"""Hey, don't I know you from somewhere?"". Check out this priceless reaction when a pup runs into their groomer in the real world. 😂  https://t.co/28GJlAE7xt"
1stplacemobile,2019-05-31 19:56:18+00:00,0,,"Big had a spa day. Thanks Jamie. Groomer Leota #dogsofinstagram #minischnauzer #1stplacedoggrooming #1stplacedoggroomingsalon #mcdonoughdoggroomingsalon @ McDonough, Georgia https://t.co/FOdnJk8bTZ"
oppuc3,2019-05-31 19:55:40+00:00,0,,Chugchog the groomer
rxckfordpeach,2019-05-31 19:46:37+00:00,1,,Our dogs went to the groomer and @killakimbo ‘s dad is mad the girl dog didn’t get bows 😂😂😂 https://t.co/M8ZEWQ1eST
LowtherHillsSki,2019-05-31 19:44:22+00:00,9,,"Help us buy the only snow groomer in the South of Scotland! We are now half way our target. Can we buy the groomer before the winter season 2019/2020? Please help us to raise £9,900 to purchase the only snow groomer in the South of Scotland: https://t.co/V4PbDn6Bj6 https://t.co/agbGpzzlon"
AimeeMullinsFan,2019-05-31 19:41:32+00:00,5,,"Alfie went to the groomer today❤
He was totally relaxed😍 #Alfie #Groomer #Grooming #handsome #dogsofinstagram #DogsofTwittter #GuideDogs https://t.co/H9yIc33FH4"
boganella1,2019-05-31 19:35:24+00:00,3,,"@BeetleBMD OMG!😮When we are big puppers sometimes we don't know our own strength. Leeloo loves playing with water, loves the hair dryer, loves the shower, but hates the groomer touching her nails"
PupTownSpaw,2019-05-31 19:31:02+00:00,0,,"When we're done with your pups, they'll be clean enough to let sleep in your bed again!

Pup Town Spaw - (210) 817-2680

#PupTownSpaw #Groomer #Pets #MobileGrooming #MobileDogGrooming #Mobile #DogSpaw #DogBath #DogHaircut #NailTrim #PetGroomer #PetGrooming #Grooming #doggroomer https://t.co/SQlq0TIHZ2"
ChloeAd35418085,2019-05-31 19:26:30+00:00,0,,"I live in such a small town, we only have one vet, and he charges a LOT.  I can't get the dogs to the nearest groomer (about 20 miles away), and SO much cheaper.  It just takes the vet about 2 minutes, I can't trim them alone as I can't hold and trim."
India_SoLovely,2019-05-31 19:26:29+00:00,0,,Okay now I’m mad because it’s going to be raining by the time I pick him up from the groomer 😭
Susannah_Bryan,2019-05-31 19:17:01+00:00,2,,Ziggy’s back home after his first visit to the groomer. They sprayed conditioner in his eye. Vet says it scratched his cornea.  Needs ointment in his eye every hour for 3 days. #poorbaby https://t.co/op9OdtyFpA
the_ag_fox_1971,2019-05-31 19:14:18+00:00,7,,Someone went to the groomer! All clean &amp; ready for the weekend! https://t.co/4cuMX2Plfc
PetArabia,2019-05-31 19:03:41+00:00,0,,"Is your pet ready for #Eid? 
By Pet Arabia’s groomer Joan @ Pet Arabia Co. https://t.co/qzq81sjEFi"
leeannrvn,2019-05-31 18:59:46+00:00,1,,@hydrojen19 C'Mon now you know the best clients are really the ones that only believe their breeder/groomer/hairdresser - they're the dream!!!! 😂😂 xx
MottaSilvinha,2019-05-31 18:42:35+00:00,0,,"Mas eu matava esse groomer!!! 😂
Mano????????😭 https://t.co/tAf9TKl0aG"
jill_millander,2019-05-31 18:16:06+00:00,2,,"@Mawinmo In my other tweets we were talking about meslisaa, Sam’s groomer who butchered his hair last time. But this tweet is just Sam and Cait posting their IG stories 🥰"
TeachH3R,2019-05-31 18:07:51+00:00,0,,I hope the groomer isn’t judging me for how crazy my dog’s hair is. She just don’t know that he like to roll all over the place and tangle his hair in knots.
NoleGirl88,2019-05-31 18:06:19+00:00,1,,Zoey got her hair &amp; nails done at the groomer and is showing off. Rightly so. She’s gorgeous. #HappyDog https://t.co/jQN4jd85au
MrsAitkenAnto,2019-05-31 17:54:37+00:00,3,,"It was ‘Future Me’ day at Antonine, we dressed up as the job we would like to do&amp;discussed the skills we had for that job. We had a dog groomer, chef, photographer, MI6 agent, police officer, makeup artist, undercover cop, artist, architect and many more. Well done P5 👏 https://t.co/LsTHy5emwy"
petfulcom,2019-05-31 17:29:56+00:00,0,,Please RT if you find this interesting! 10 Things Your Dog Groomer Wishes You Knew https://t.co/KywplHB9vK
nuclearcarly,2019-05-31 17:25:37+00:00,0,,@alyssakeiko “I’m not racist but....my dog has a groomer’s appointment that day”
oppuc3,2019-05-31 17:15:09+00:00,0,,"oppuc3 has since retired, but used to work at DailyMotion as a groomer"
redvamirio,2019-05-31 17:14:34+00:00,0,,bad boy rolled around in dried poop before i could stop him now he probably needs to go to the groomer again
hobiyoons_,2019-05-31 17:11:16+00:00,2,,"this makeup artists/groomer i’ve been following for a while now liked a bunch of my pics and commented on a picture of my makeup the lil hearts, i’M ABOUT TO START CRYINGHDJSJS, i’m so happy 😭😭💗💗💗💗 https://t.co/HgmADHLHnt"
PetSmart,2019-05-31 17:08:03+00:00,0,,"@NikiPardue I'm so glad to hear that you had a great experience! Lucy is looking great! I would love to pass on your compliments to the store. Could you DM me with your full name, the store location, and the groomer's name? - HH"
BeetleBMD,2019-05-31 17:05:54+00:00,4,,"@boganella1 You don’t even want to try to give me a bath! I’ve taken Mom out a few times. Dad said “to let a groomer do it” and Mom said, “So he could beat them up instead?!” I’m brutal at baths."
icandydesigning,2019-05-31 17:05:53+00:00,0,,Leaving our new groomer! Tiffany and Rosie look so pretty 💖 My Rosie had a bad grooming experience at our last place and was very frightened 🙁 but she came out happy and excited when I picked her up today 💕  Thanks to the team at Vanity Fur! — at... https://t.co/FzudqZCCQg
shijeonne,2019-05-31 17:05:18+00:00,0,,"@camlights_ YES??? wait is this not possible with dogs. Buy a nail clipper and watch a few tutorials! If you're scared, you can take them to a groomer. 

https://t.co/6MIWCxJOQf"
amadeus_pluis,2019-05-31 17:01:19+00:00,11,,Pluis: Groomer at home tomorrow morning 🤔😮🐇 https://t.co/6DPh8NSlhE
Rafal_Kurtzman,2019-05-31 16:59:13+00:00,0,,@MuciPuciPuci A kto to jest Groomer?
doggroomwales,2019-05-31 16:51:51+00:00,1,,"Today I was playing with my nice new shiny @SianAbbfabb scissors, I am well impressed..and they are that sharp..... scissors 2 groomer 0 😁 #whoops #ouch #healthandsafetyfail #healthandsafety @ Dog And Bone Grooming https://t.co/YUboF3qLB5"
Marina935home,2019-05-31 16:43:51+00:00,5,,"@tegan4618 @sandyincanada @BrashleyDebbie @Axolotl_2019 @cobalttash @lynda3035 @Tosca3333 @Lpowell588Lady @2kewlabs @BloomNight2 I did &amp; it helped the cats, but I should have given some to the groomer 😠 She wasn’t feeling well so she wasn’t herself."
themackdaddy94,2019-05-31 16:28:57+00:00,0,,"@lizzzahn 1. You went to to a cheap, chain pet store groomer. You get what you pay for. 
2. That’s a pretty damn good haircut considering, and frankly I think the dog looks much better &amp; put together"
themackdaddy94,2019-05-31 16:26:21+00:00,0,,"@_aalyssaaa I’d be willing to bet a good amount of money that: 
A. You went to a cheap, chain pet store groomer
B. Your dog was so matted that a shave down was the only option
C. You didn’t properly explain what you were looking for to the groomer OR
D. Some combination of the above options"
ThalgoUSA,2019-05-31 16:17:53+00:00,1,,"New THALGO Men Gift Collections! The Beard Groomer set includes:
• THALGO Men Cleansing Gel
• THALGO Men Shaving Gel (Travel Size)
• F + J’s Classic Beard Oil
• F + J’s Conditioning Beard Balm
• THALGO Toiletry Bag… https://t.co/yD6ulzGXzX"
laurie_berke,2019-05-31 16:17:02+00:00,0,,@legroff Bring a pic of what she should look like. It will help your groomer (although she *should* know)
FlyeraKenz,2019-05-31 16:05:00+00:00,1,,"My groomer just called my mom to tell her that Louie has candy in between his toes 

Again"
SnarkyFridays,2019-05-31 16:03:26+00:00,1,,@JennArndt @bkives My bet's on Poodle Groomer to the Stars.
COLRICHARDKEMP,2019-05-31 15:53:13+00:00,59,,"It’s the police’s fault, Javid’s fault, Tower Hamlets’ fault, a “groomer’s” fault. Everyone’s fault but your innocent client who had no idea what she was doing or her family. As a lawyer you have a duty to report the identity of the “groomer” to police for prosecution."
LetsBuildLego1,2019-05-31 15:49:27+00:00,2,,NEW VIDEO NOW LIVE! Happy Friday everyone check out our new #Lego Build Video now live: LET'S BUILD LEGO –  Snow Groomer Lego City 60222  - Unboxing and Build 2019 https://t.co/t61YpoD497 via @YouTube @lego #Legovideo #Youtube #smallyoutuber
aneerbas,2019-05-31 15:45:11+00:00,0,,I dropped the dogs off at the groomer and my anxiety is at 1000%.
ronikoepp,2019-05-31 15:38:31+00:00,0,,"Now hiring, experienced bather and groomer
We honor most  competitor coupons
#acutabovepetsalon.net #hiringbather&amp;groomer #jobs #hiring #groomers #petbather #petcare #job #dogs #cats #bunnies #dog #catstagram… https://t.co/TbVLfIzWgI"
belladonna410,2019-05-31 15:29:11+00:00,2,,"The groomer did a great job, but I feel like I have a different dog. Like who is this wennie dog 😂 https://t.co/xk1xK1uMT8"
cat_groomer,2019-05-31 15:22:17+00:00,0,,"Amahya, two weeks after a custom #teddybear clip. Amayha's mum and dad wanted to retain the natural mane, her tail and just trim everywhere else to aid them in the combing process. This young lady is a prolific… https://t.co/RT3bgGTSaq"
bkoo,2019-05-31 15:02:30+00:00,3,,"This was a call with a groomer and this didn’t help at all.

“I’ve literally never heard of a perfect in all my years doing this”"
Beatepdx,2019-05-31 14:58:07+00:00,1,,@thatbilloakley Wow!!! Groomer? Or do you have another great hidden talent as cat groomer? 😺😻
UKIPVeterans,2019-05-31 14:57:58+00:00,3,,@COLRICHARDKEMP Indeed. Her groomer should be despatched to join her.
dealonwheel,2019-05-31 14:42:15+00:00,0,,"HAIRBY Ladies Shaver Bikini Trimmer, 4 in 1 USB Rechargeable Women Groomer Razoe, Nose Hair Trimmer https://t.co/9A8Sw50Sb2"
SunnyDelRae7,2019-05-31 14:25:02+00:00,0,,"#letgo Today I walked two miles, drank bioenergy greens and had a list of errands to run. Jumped in to car w/dog &amp; turned my car key “click silence”...dead battery. Guess the universe had other plans for me today... #grateful for G getting dog to groomer!😎 https://t.co/ka4F8CFJrY"
oppuc3,2019-05-31 14:05:45+00:00,0,,Dingus works as a groomer at Twitter
p_reuteman,2019-05-31 13:59:31+00:00,36,,Testing out our Rahn groomer for Monday. https://t.co/OHro8m90l5
kinakowarabi123,2019-05-31 13:59:07+00:00,0,,"チークちゃん♡
 ハナちゃん♡

可愛い可愛い可愛い😍💕

パパのお迎え嬉しいねー🐶💕🐶💕

  #dogsalonhughug  #trimming #groomer#osaka #トリミング   #住吉区 #帝塚山 #dogstagram #いつもありがとうございます💓 https://t.co/YGN8qg303o"
kinakowarabi123,2019-05-31 13:57:11+00:00,0,,"viviちゃん♡

夏バージョン🐶✨

首回りをスッキリした分
うそシッポはボリュームアップ❤️

#うそしっぽ
  #dogsalonhughug  #trimming #groomer#osaka #トリミング   #住吉区 #帝塚山 #dogstagram #いつもありがとうございます💓 https://t.co/wvMXy8EHzh"
KillingtonMtn,2019-05-31 13:53:50+00:00,70,,"If you see a groomer, thank them for prepping Superstar for our final weekend! @GoPro #GoPro #beast365 #FridayThoughts https://t.co/zQCkElQtLg https://t.co/4L7J6d2wAV"
NoorEmoon,2019-05-31 13:46:13+00:00,0,,Onek groomer por brishti. Kintu eid er bechakena r Bari jawa...
Oneleggedtravel,2019-05-31 13:29:55+00:00,0,,"Need an Experienced groomer ASAP. Must be able to work alone and some kennel shifts. Must be able to do breed specific haircuts! Text Mandi @ 865.567.8290. Business is in Blaine, TN

Nicole Hardin
Heather Vozar... https://t.co/jYATwICppH"
bruninhagodoy7,2019-05-31 13:20:34+00:00,0,,"""Curta e compartilhe nossa página e fique por dentro de nossas promoções"" ( Groomer's Estética Animal) estamos na R: José Álvaro Giovanelli,N:160, São Gonçalo.                             

Agende já seu horário!

Waths 📲12 996368130📲996481180☎️34130052🐕🐕😘 https://t.co/gg0CuhXtVx"
jobscouk,2019-05-31 13:14:55+00:00,0,,"Trainee Dog Groomer - Newport, Blaenau Gwent - Pets at Home - #ukjobs https://t.co/4NK5gnFsPm"
mxll13x,2019-05-31 13:11:34+00:00,5,,"In fact, we used pets at home grooming services ONCE for my big puppy dog, we never returned because her haircut was disgraceful and id never seen her so stressed after being to the groomer before, so obviously now am thinking it’s because the animals aren’t treated properly."
GroomsMeg,2019-05-31 13:08:32+00:00,0,,#rubadubdub #twodogs in the #tub! #dogbathing #squeekyclean #dogsofinstagram #doggrooming #groomer #doggroomer #petstylist #spaw #petgrooming #grooming #dogsalon #instagramdogs #adorable #doggroominglife #sweet… https://t.co/gdhPmhLjaj
notoriousholmes,2019-05-31 13:07:50+00:00,3,,Bears groomer just asked me if I wanted to add on the blueberry facial for $20. Don’t ask what my answer was.
jobscouk,2019-05-31 12:54:55+00:00,0,,"Trainee Dog Groomer - Cross Hands, Carmarthenshire - Pets at Home - #ukjobs https://t.co/O4Zj9COjDx"
meeshelles,2019-05-31 12:47:16+00:00,4,,I dropped my dog off at the groomer and those cunty dogs were being mean. If he has any marks on him I will tackle 100%
dolceSally,2019-05-31 12:46:54+00:00,34,,"Today’s Granny’s (AnnaGrazia) birthday! 🎂🎁🍰 68 y.o.!!! 
Thank you for being my fav groomer 😘😘😘 https://t.co/mn3iVSag81"
SafeToNet,2019-05-31 12:35:27+00:00,3,,This is an interesting discussion - the power of the online predatory groomer. Grooming for radicalisation is the same process as grooming for other forms of exploitation and abuse. Watch for the offline signs.
petsathomejobs,2019-05-31 12:29:56+00:00,0,,"Part-Time Dog Groomer (20 Hours) - Kendal, Cumbria - Pets at Home - #ukjobs https://t.co/j9Z8D9SsEH"
jobscouk,2019-05-31 12:29:55+00:00,0,,"Part-Time Dog Groomer (20 Hours) - Kendal, Cumbria - Pets at Home - #ukjobs https://t.co/L8lx1TmZyl"
Bill4Brexit,2019-05-31 12:15:43+00:00,11,,"The most likely groomer was the local Iman 

BBC News - Shamima Begum: Lawyer says teen was 'groomed'
https://t.co/jvVxo0FDEy"
alexisgaughan,2019-05-31 11:39:41+00:00,3,,Pray 4 me as I take my 5 dogs to the groomer by myself
oldblagger,2019-05-31 11:38:07+00:00,1,,@ridders87 @Stu9891 @V11Stu Did he hide his face like badgeman the groomer of scott1d? https://t.co/stAQlRuhCG
SmilGeoff,2019-05-31 11:35:45+00:00,1,,"@Mabelschnauz001 Wow, awesome who's your groomer."
MorilloGroomer,2019-05-31 10:59:37+00:00,0,,"••MAX••
#stripping #peloduro #fox #foxterrier #foxterriers #peluqueriacanina #peluqueriacaninasalamanca #salamanca #cabrerizos #dog #dogs #grooming #groomer #perros #bonito #feliz #lovemywork #happy #beautifuldog en… https://t.co/8e3ADmaWcw"
oppuc3,2019-05-31 10:45:20+00:00,0,,"What if Eggy were like, a groomer at Youtube"
MoneymakerBetty,2019-05-31 09:56:35+00:00,0,,@ECMcLaughlin @SpeakerPelosi Fresh from the groomer and her summer do. https://t.co/2qXMJc8Cws
ralpha060461,2019-05-31 09:56:21+00:00,1,,Ozzy’s off to the groomer today. No doubt he’ll come back smelling like he’s been to House of Fraser perfumery 🥴🐶
KitchenSteffi,2019-05-31 09:38:48+00:00,0,,"@LemonPiBoutique Yes spot-on! Cos of his teeth, he was making himself dirty &amp; cos of his kidney disease, the teeth had to wait while he adjusted to prescribed food. Once his levels were all good surgery went ahead 😊 the other 2 get mats this time of year too, so groomer will do theirs ❤️"
cat_groomer,2019-05-31 08:38:39+00:00,1,,"Showcasing Baxter, four weeks growth after an essential clip.

Love you Bax!

biocooncat thank you x
#thecatgroomer #catgrooming #catgroomer #mainecooncats #lovecats #mainecoon #mainecoonlovers #catsmakemehappy… https://t.co/kjyEJj07Cz"
